trip_id;numero_train;destination;stop_sequence;gare;arrival_time;arrival_delay_sec;departure_time;departure_delay_sec;derniere_maj
OCESN8547F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1851:20260822;;8547;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 13:59:00;0.0;2026-08-15 23:01:08
OCESN8547F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1851:20260822;;8547;-1;Massy TGV;2026-08-15 14:08:00;0.0;2026-08-15 14:11:00;0.0;2026-08-15 23:01:08
OCESN8547F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:8:1851:20260822;;8547;-1;Bordeaux Saint-Jean;2026-08-15 16:15:00;0.0;2026-08-15 20:51:00;16200.0;2026-08-15 23:01:08
OCESN5358F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87688887:87481002:9:2311:20260815;;5358;-1;Massy TGV;2026-08-15 21:11:00;2400.0;2026-08-15 21:14:00;2400.0;2026-08-15 23:01:08
OCESN5358F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87688887:87481002:9:2311:20260815;;5358;-1;Angers Saint-Laud;2026-08-15 23:00:00;1800.0;2026-08-15 23:03:00;1800.0;2026-08-15 23:01:08
OCESN5358F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87688887:87481002:9:2311:20260815;;5358;-1;Nantes;2026-08-15 23:41:00;1800.0;;;2026-08-15 23:01:08
OCESN8557F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:7:2251:20260829;;8557;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 18:05:00;0.0;2026-08-15 23:01:08
OCESN8557F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:7:2251:20260829;;8557;-1;Bordeaux Saint-Jean;2026-08-15 20:14:00;0.0;2026-08-15 20:50:00;1800.0;2026-08-15 23:01:08
OCESN8593F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:7:2327:20260829;;8593;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 18:05:00;0.0;2026-08-15 23:01:08
OCESN8593F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:7:2327:20260829;;8593;-1;Bordeaux Saint-Jean;2026-08-15 20:14:00;0.0;2026-08-15 20:50:00;1800.0;2026-08-15 23:01:08
OCESN8641F1187_F:OUI:FR:Line::D6BAEC78-815E-4C9A-BC66-2B9D2C00E41F::87391003:87474007:9:2255:20260822;;8641;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 18:55:00;0.0;2026-08-15 23:01:08
OCESN8641F1187_F:OUI:FR:Line::D6BAEC78-815E-4C9A-BC66-2B9D2C00E41F::87391003:87474007:9:2255:20260822;;8641;-1;Rennes;2026-08-15 20:26:00;0.0;2026-08-15 20:34:00;0.0;2026-08-15 23:01:08
OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260829;;12281;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 19:05:00;0.0;2026-08-15 23:01:08
OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260829;;12281;-1;Bordeaux Saint-Jean;2026-08-15 21:14:00;0.0;2026-08-15 21:45:00;1500.0;2026-08-15 23:01:08
OCESN8521F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260829:1;;8521;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 19:05:00;0.0;2026-08-15 23:01:08
OCESN8521F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260829:1;;8521;-1;Bordeaux Saint-Jean;2026-08-15 21:14:00;0.0;2026-08-15 21:45:00;1500.0;2026-08-15 23:01:08
OCESN8746F1187_F:OUI:FR:Line::9D734757-B3C7-4D8A-951E-0EB6FDA912B9::87474098:87391003:7:2307:20260829;;8746;-1;Rennes;2026-08-15 21:25:00;0.0;2026-08-15 21:35:00;0.0;2026-08-15 23:01:08
OCESN8746F1187_F:OUI:FR:Line::9D734757-B3C7-4D8A-951E-0EB6FDA912B9::87474098:87391003:7:2307:20260829;;8746;-1;Paris Montparnasse Hall 1 - 2;2026-08-15 23:07:00;0.0;;;2026-08-15 23:01:08
OCESN8646F1187_F:OUI:FR:Line::D6BAEC78-815E-4C9A-BC66-2B9D2C00E41F::87474007:87391003:6:2323:20260829;;8646;-1;Rennes;2026-08-15 21:43:00;0.0;2026-08-15 21:47:00;0.0;2026-08-15 23:01:08
OCESN8646F1187_F:OUI:FR:Line::D6BAEC78-815E-4C9A-BC66-2B9D2C00E41F::87474007:87391003:6:2323:20260829;;8646;-1;Paris Montparnasse Hall 1 - 2;2026-08-15 23:23:00;0.0;;;2026-08-15 23:01:08
OCESN8063F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87471003:4:2309:20260829;;8063;-1;Paris Montparnasse Hall 1 - 2;;;2026-08-15 21:15:00;0.0;2026-08-15 23:01:08
OCESN8063F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87471003:4:2309:20260829;;8063;-1;Le Mans;2026-08-15 22:10:00;0.0;2026-08-15 22:13:00;0.0;2026-08-15 23:01:08
OCESN8063F1187_F:OUI:FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD::87391003:87471003:4:2309:20260829;;8063;-1;Rennes;2026-08-15 23:09:00;0.0;;;2026-08-15 23:01:08
