collecte_horodatage;trip_id;stop_id_rt;arrival_time;arrival_delay_sec;departure_time;departure_delay_sec;trip_route_id;trip_service_id;trip_trip_id;trip_trip_headsign;trip_direction_id;trip_block_id;trip_shape_id;route_route_id;route_agency_id;route_route_short_name;route_route_long_name;route_route_desc;route_route_type;route_route_url;route_route_color;route_route_text_color;stop_stop_id;stop_stop_name;stop_stop_desc;stop_stop_lat;stop_stop_lon;stop_zone_id;stop_stop_url;stop_location_type;stop_parent_station
2026-07-29 13:52:26;OCESN4402F1187_F:IC:FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b::87481002:87722025:12:1316:20261212;StopPoint:OCEINTERCITES-87571240;2026-07-29 08:13:00;300;2026-07-29 08:18:00;300;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN4402F1187_F:IC:FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b::87481002:87722025:12:1316:20261212;StopPoint:OCEINTERCITES-87576009;2026-07-29 09:18:00;300;2026-07-29 09:22:00;300;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN4402F1187_F:IC:FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b::87481002:87722025:12:1316:20261212;StopPoint:OCEINTERCITES-87726802;2026-07-29 12:07:00;600;2026-07-29 12:10:00;600;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN4402F1187_F:IC:FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b::87481002:87722025:12:1316:20261212;StopPoint:OCEINTERCITES-87723197;2026-07-29 13:44:00;2400;2026-07-29 13:48:00;2400;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN4402F1187_F:IC:FR:Line::8ba8a419-03e7-45ba-aef8-33b50dc5179b::87481002:87722025:12:1316:20261212;StopPoint:OCEINTERCITES-87722025;2026-07-29 13:56:00;2400;;;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN8571F1187_F:OUI:FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588::87391003:87671008:7:1151:20260729;StopPoint:OCETGV INOUI-87671008;2026-07-29 13:51:00;7200;;;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-87671008;Tarbes;;43.2398630;0.06944200;;;0;StopArea:OCE87671008
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-87686006;;;2026-07-29 06:51:00;300;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-87686006;Paris Gare de Lyon Hall 1 - 2;;48.8449450;2.37348100;;;0;StopArea:OCE87686006
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-87725705;2026-07-29 08:25:00;300;2026-07-29 08:28:00;300;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-87725705;Mâcon - Loché TGV;;46.2829120;4.77892400;;;0;StopArea:OCE87725705
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-87741009;2026-07-29 09:41:00;300;2026-07-29 09:49:00;300;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-87741009;Chambéry - Challes-les-Eaux;;45.5713020;5.91954700;;;0;StopArea:OCE87741009
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-87742007;2026-07-29 10:51:00;300;2026-07-29 11:00:00;300;;;;;;;;;;;;;;;;;;;;;;;;;
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-83002048;2026-07-29 11:26:00;300;2026-07-29 11:28:00;300;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-83002048;OULX CESANA CLAVIERE SESTRIERE;;45.0387950;6.83143100;;;0;StopArea:OCE83002048
2026-07-29 13:52:26;OCESN9243F1187_F:OUI:FR:Line::2FFF7F96-0EBC-4AA1-B417-38EBD492057E::87686006:83016451:7:1353:20261206;StopPoint:OCETGV INOUI-83000356;2026-07-29 12:28:00;300;2026-07-29 12:30:00;300;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-83000356;Turin Porta Susa;;45.0741180;7.66667500;;;0;StopArea:OCE83000356
2026-07-29 13:52:26;OCESN6191F1187_F:OUI:FR:Line::1C9BA26B-7D92-4D0E-86EF-895FB80E10BF::87686006:87753004:8:1142:20260729;StopPoint:OCETGV INOUI-87686006;;;2026-07-29 07:49:00;2100;;;;;;;;;;;;;;;;;StopPoint:OCETGV INOUI-87686006;Paris Gare de Lyon Hall 1 - 2;;48.8449450;2.37348100;;;0;StopArea:OCE87686006
