trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8422F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87581009:87391003:3:809:20260924;;8422;-1;Bordeaux Saint-Jean;;2026-09-21 05:38:00;2026-09-21 08:15:49;2026-09-21 08:20:46;;0
OCESN8422F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87581009:87391003:3:809:20260924;;8422;-1;Angoulême;2026-09-21 06:15:00;2026-09-21 06:18:00;2026-09-21 08:15:49;2026-09-21 08:20:46;0;0
OCESN8422F1187_F:OUI:FR:Line::bfee86bc-5225-4c40-a6e6-785cfd43eae6::87581009:87391003:3:809:20260924;;8422;-1;Paris Montparnasse Hall 1 - 2;2026-09-21 08:14:00;;2026-09-21 08:15:49;2026-09-21 08:20:46;5;
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261102;;8370;-1;La Rochelle;;2026-09-21 05:39:00;2026-09-21 08:50:44;2026-09-21 08:55:38;;0
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261102;;8370;-1;Poitiers;2026-09-21 07:15:00;2026-09-21 07:21:00;2026-09-21 08:50:44;2026-09-21 08:55:38;5;5
OCESN8370F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87485003:87391003:6:840:20261102;;8370;-1;Paris Montparnasse Hall 1 - 2;2026-09-21 08:45:00;;2026-09-21 08:50:44;2026-09-21 08:55:38;5;
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20261102;;8480;-1;Bordeaux Saint-Jean;;2026-09-21 05:18:00;2026-09-21 08:50:44;2026-09-21 08:55:38;;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20261102;;8480;-1;Angoulême;2026-09-21 06:23:00;2026-09-21 06:26:00;2026-09-21 08:50:44;2026-09-21 08:55:38;0;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20261102;;8480;-1;Poitiers;2026-09-21 07:06:00;2026-09-21 07:16:00;2026-09-21 08:50:44;2026-09-21 08:55:38;0;0
OCESN8480F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:5:840:20261102;;8480;-1;Paris Montparnasse Hall 1 - 2;2026-09-21 08:45:00;;2026-09-21 08:50:44;2026-09-21 08:55:38;5;
